Doc Id	PMID		Sentence	Start Point	End Point	Length	Text	Notes	UMLS Code	UMLS Concept Name	Possible Alternative Codes		
464	7939630	5	These results suggest that mutation of BRCA1 may not be critical in the development of the majority of breast and ovarian cancers that arise in the absence of a mutant germline allele..	115	129	15	ovarian cancers	textual -   Search yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
465	7951315	1	The human eye malformation aniridia results from haploinsufficiency of PAX6, a paired box DNA-binding protein.	28	35	8	aniridia	textual	C0003076	Aniridia			
466	7951315	2	To study this dosage effect, we characterized two PAX6 mutations in a family segregating aniridia and a milder syndrome consisting of congenital cataracts and late onset corneal dystrophy.	90	97	8	aniridia	textual	C0003076	Aniridia			
466	7951315	2	To study this dosage effect, we characterized two PAX6 mutations in a family segregating aniridia and a milder syndrome consisting of congenital cataracts and late onset corneal dystrophy.	135	154	20	congenital cataracts	textual - provides 1 of 2 UMLS codes (C0009691). This query also yields one other UMLS code for "CCAT gene [C1442859]	T0000006 - C0086543, C0009691	cataract - Congenital cataracts			
466	7951315	2	To study this dosage effect, we characterized two PAX6 mutations in a family segregating aniridia and a milder syndrome consisting of congenital cataracts and late onset corneal dystrophy.	160	187	29	late onset corneal dystrophy.	intuitive: text state the late onset of a specific disease	C0376415	Late-Onset Disorders			
466	7951315	2	To study this dosage effect, we characterized two PAX6 mutations in a family segregating aniridia and a milder syndrome consisting of congenital cataracts and late onset corneal dystrophy.	171	187	17	corneal dystrophy	textual - yields correct UMLS code, however, also yields 1 other code for "Hereditary corneal dystrophy" [ C0010035 ]	C0010036	Corneal dystrophy	C0010035		
467	7951316	1	We have constructed a physical map of a 4 cM region on chromosome 17q12-21 that contains the hereditary breast and ovarian cancer gene BRCA1.	94	129	36	hereditary breast and ovarian cancer	intuitive: list is present, a search for "hereditary breast cancer" will yield correct UMLS code	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
467	7951316	1	We have constructed a physical map of a 4 cM region on chromosome 17q12-21 that contains the hereditary breast and ovarian cancer gene BRCA1.	94	129	25	hereditary breast and ovarian cancer	intuitive:	C1833686	OVARIAN CANCER, FAMILIA	T0000018 - C0029925, C1140680 		
467	7951316	1	We have constructed a physical map of a 4 cM region on chromosome 17q12-21 that contains the hereditary breast and ovarian cancer gene BRCA1.	116	129	14	ovarian cancer	textual -   Search yields both UMLS codes.	T0000018 - C0029925, C1140680	Ovarian Carcinoma - Group name			
468	7951327	2	We have cloned cDNAs for the rat gene (Atp7b) homologous to the human Wilson disease gene (ATP7B) and have used them to identify a partial deletion in the Atp7b gene in the LEC rat.	71	84	14	Wilson disease	textual	C0019202	Hepatolenticular Degeneration			
469	7959759	9	The frequent occurrence of color vision anomalies observed in patients with adrenomyeloneuropathy (the adult onset form of ALD) thus does not represent a contiguous gene syndrome but a secondary manifestation of ALD..	124	126	3	ALD	intuitive: was not annotated, the abstract defines ALD as adrenoleukodystrophy.  A search of this text yields the correct UMLS code, however, also yields 1 other		Adrenoleukodystrophy	C0162309		
469	7959759	9	The frequent occurrence of color vision anomalies observed in patients with adrenomyeloneuropathy (the adult onset form of ALD) thus does not represent a contiguous gene syndrome but a secondary manifestation of ALD..	213	215	3	ALD	intuitive: was not annotated, the abstract defines ALD as adrenoleukodystrophy.  A search of this text yields the correct UMLS code, however, also yields 1 other		Adrenoleukodystrophy	C0162309		
469	7959759	9	The frequent occurrence of color vision anomalies observed in patients with adrenomyeloneuropathy (the adult onset form of ALD) thus does not represent a contiguous gene syndrome but a secondary manifestation of ALD..	77	97	21	adrenomyeloneuropathy	textual	C1527231	Adrenomyeloneuropathy			
470	7959767	1	Huntington disease (HD) is a severe autosomal dominant neurodegenerative disorder associated with a novel gene IT15.	21	22	2	HD	textual - yields correct UMLS code, however, also yield 4 others	C0020179	Huntington Disease-			
470	7959767	1	Huntington disease (HD) is a severe autosomal dominant neurodegenerative disorder associated with a novel gene IT15.	1	18	18	Huntington disease	textual - yields correct UMLS code, however, also yields code for "HD gene	C0020179	Huntington Disease-			
470	7959767	1	Huntington disease (HD) is a severe autosomal dominant neurodegenerative disorder associated with a novel gene IT15.	37	81	45	autosomal dominant neurodegenerative disorder	intuitive: text states a specific "autosomal dominant hereditary disorder	C0265385	Autosomal dominant hereditary disorder			
470	7959767	1	Huntington disease (HD) is a severe autosomal dominant neurodegenerative disorder associated with a novel gene IT15.	56	81	26	neurodegenerative disorder	textual - yields correct UMLS code, however, also yields UMLS code for [ C1522560 ] Neurodegenerative Disorders Pathway	C0524851	Neurodegenerative Disorders			
471	7962532	13	CETP deficiency, reflecting two prevalent mutations (D442G and Int14 A), is the first example of a genetic deficiency state which is sufficiently common to explain a significant fraction of the variation in HDL-C in the general population..	1	15	15	CETP deficiency	intuitive: CETP is defined as a specific type of protein in the abstract.  The query of this text provides a more specific UMLS code for "CHOLESTERYL ESTER TRANSFER PROTEIN DEFICIENCY	C0033626	Protein Deficiency	C1846485		
472	7964884	1	Treatments by oral administration of chenodeoxycholic acid (CDCA) alone, 3-hydroxy-3-methylglutaryl (HMG) CoA reductase inhibitor (pravastatin) alone, and combination of the two drugs were attempted for 7 patients with cerebrotendinous xanthomatosis CTX.	251	253	3	CTX	textual - yields correct UMLS code, however, also yields 2 others	C0238052	Xanthomatosis, Cerebrotendinous			
472	7964884	1	Treatments by oral administration of chenodeoxycholic acid (CDCA) alone, 3-hydroxy-3-methylglutaryl (HMG) CoA reductase inhibitor (pravastatin) alone, and combination of the two drugs were attempted for 7 patients with cerebrotendinous xanthomatosis CTX.	220	249	30	cerebrotendinous xanthomatosis	textual	C0238052	Xanthomatosis, Cerebrotendinous			
473	7981671	8	Interestingly, all CHM gene mutations detected thus far in choroideremia patients give rise to the introduction of a premature stop codon..	60	72	13	choroideremia	textual	C0008525	Choroideremia			
474	7991123	2	The phenotypic expression is highly variable, childhood cerebral ALD (CCALD) and adrenomyeloneuropathy (AMN) being the main variants.	66	68	3	ALD	intuitive: abstract defined Adrenoleukodsytrophy as "ALD".  A search of this text yields correct UMLS code, however, it also provides 1 other	T0000003 - C0162309,C0282525	Adrenoleukodystrophy, Adrenoleukodystrophy, Neonatal			
474	7991123	2	The phenotypic expression is highly variable, childhood cerebral ALD (CCALD) and adrenomyeloneuropathy (AMN) being the main variants.	105	107	3	AMN	textual - provides correct UMLS code, however, also yields 3 others	C1527231	Adrenomyeloneuropathy			
474	7991123	2	The phenotypic expression is highly variable, childhood cerebral ALD (CCALD) and adrenomyeloneuropathy (AMN) being the main variants.	82	102	21	adrenomyeloneuropathy	textual	C1527231	Adrenomyeloneuropathy			
475	8002973	1	An antibody against the synthetic C-terminal peptides deduced from the cDNA of the gene responsible for X-linked adrenoleukodystrophy (ALD) was produced to characterize the product of the ALD gene.	136	138	3	ALD	textual - yields only 1 of 2 UMLS codes (C0162309). This search also yields 1 other code.	T0000003 - C0162309,C0282525	Adrenoleukodystrophy, Adrenoleukodystrophy, Neonatal			
475	8002973	1	An antibody against the synthetic C-terminal peptides deduced from the cDNA of the gene responsible for X-linked adrenoleukodystrophy (ALD) was produced to characterize the product of the ALD gene.	114	133	20	adrenoleukodystrophy	textual - yields only 1 of 2 UMLS codes (C0162309). This search also yields 1 other code.	T0000003 - C0162309,C0282525	Adrenoleukodystrophy, Adrenoleukodystrophy, Neonatal			
476	8004674	4	The mRNA expression pattern of one of them, designated as XK, correlates closely to the McLeod phenotype.	89	94	6	McLeod	intuitive: McLeod Syndrome is mentioned in the abstract.  A query of "McLeod Syndrome"  yields the appropriate UMLS code		Blood group deletion syndrome	C0398568		
477	8012387	3	A rare X-linked dysmyelinating disorder of the central nervous system, Pelizaeus-Merzbacher disease (PMD), has also been mapped to Xq21-q22, and is caused by mutations in the proteolipid protein gene (PLP) which encodes two myelin proteins, PLP and DM20.	102	104	3	PMD	textual - yields 1 of 2 UMLS codes (C0205711),  however, it also yields 2 others	T0000004 - C0751916,C0205711	Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher disease			
477	8012387	3	A rare X-linked dysmyelinating disorder of the central nervous system, Pelizaeus-Merzbacher disease (PMD), has also been mapped to Xq21-q22, and is caused by mutations in the proteolipid protein gene (PLP) which encodes two myelin proteins, PLP and DM20.	3	39	37	rare X-linked dysmyelinating disorder	intuitive: the text is stating that a specific disease or disorder is rare	C0678236	Rare Diseases			
477	8012387	3	A rare X-linked dysmyelinating disorder of the central nervous system, Pelizaeus-Merzbacher disease (PMD), has also been mapped to Xq21-q22, and is caused by mutations in the proteolipid protein gene (PLP) which encodes two myelin proteins, PLP and DM20.	72	99	28	Pelizaeus-Merzbacher disease	textual - yields 1 of 2 UMLS codes (C0205711)	T0000004 - C0751916,C0205711	Classic Pelizaeus-Merzbacher Disease, Pelizaeus-Merzbacher disease			
478	8023850	1	Canavan disease is an autosomal recessive leukodystrophy caused by the deficiency of aspartoacylase ASPA.	1	15	15	Canavan disease	textual	C0206307	Canavan Disease			
478	8023850	1	Canavan disease is an autosomal recessive leukodystrophy caused by the deficiency of aspartoacylase ASPA.	43	56	14	leukodystrophy	textual	C0023520	Leucodystrophy NOS			
478	8023850	1	Canavan disease is an autosomal recessive leukodystrophy caused by the deficiency of aspartoacylase ASPA.	72	99	28	deficiency of aspartoacylase	textual	C0206307	Canavan Disease			
478	8023850	1	Canavan disease is an autosomal recessive leukodystrophy caused by the deficiency of aspartoacylase ASPA.	72	99	28	deficiency of aspartoacylase	intuitive: text states a deficiency of a specific enzyme	C0149676	Enzyme Deficiency			
479	8071955	1	An abbreviated Wechsler Adult Intelligence Scale Revised (WAIS-R) was used to assess verbal and arithmetical cognitive performance in 55 subjects with myotonic dystrophy (DM), covering all grades of disease severity, and 31 controls at 50% risk of inheriting DM.	172	173	2	DM	textual - search yields 1 of 2 UMLS codes (C0027126), however, also provides 8 other UMLS codes	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
479	8071955	1	An abbreviated Wechsler Adult Intelligence Scale Revised (WAIS-R) was used to assess verbal and arithmetical cognitive performance in 55 subjects with myotonic dystrophy (DM), covering all grades of disease severity, and 31 controls at 50% risk of inheriting DM.	260	261	2	DM	textual - search yields 1 of 2 UMLS codes (C0027126), however, also provides 8 other UMLS codes	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
479	8071955	1	An abbreviated Wechsler Adult Intelligence Scale Revised (WAIS-R) was used to assess verbal and arithmetical cognitive performance in 55 subjects with myotonic dystrophy (DM), covering all grades of disease severity, and 31 controls at 50% risk of inheriting DM.	152	169	18	myotonic dystrophy	textual - search yields 1 of 2 UMLS codes (C0027126). The second code has to do with muscular dystrophy and must be searched intuitively.	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
480	8071957	2	A high risk of colorectal cancer was predicted when an interstitial deletion of the long arm of chromosome 5, del 5 (q15q22.3), was detected in her lymphocytes and deletion of the MCC and APC genes confirmed by molecular analysis.	16	32	17	colorectal cancer	textual - search yields 2 out of 3 UMLS codes, does not yield C0346629	T0000016 - C0346629,C0009402,C1527249	Malignant neoplasm of large intestine - group name			
481	8075631	2	We have examined 22 families with at least one case of male breast cancer for linkage to the hereditary breast and ovarian cancer locus, BRCA1, on chromosome 17q.	56	73	18	male breast cancer	textual - yields 1 of 4 UMLS codes [ C0238033 ] Carcinoma of Male Breast	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast			
481	8075631	2	We have examined 22 families with at least one case of male breast cancer for linkage to the hereditary breast and ovarian cancer locus, BRCA1, on chromosome 17q.	61	73	13	breast cancer	textual - yields 2 of the 4 UMLS codes (C0678222 and C0006142).  C0007104 (Female breast caricinoma) and C0238033 (Carcinoma of Male Breast) must be found intuitively based on what sex you are looking for.	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast			
481	8075631	2	We have examined 22 families with at least one case of male breast cancer for linkage to the hereditary breast and ovarian cancer locus, BRCA1, on chromosome 17q.	94	129	36	hereditary breast and ovarian cancer	intuitive: list is present, a search for "hereditary breast cancer" will yield correct UMLS code	T0000029 -C0238033, C0007104,C0006142,C0678222	Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast	hereditary breast/ovarian cancer (BRCA1, BRCA2) - C0677776, Familial cancer of breast C0346153, C0677776 -hereditary breast and ovarian cancer syndrome		
481	8075631	2	We have examined 22 families with at least one case of male breast cancer for linkage to the hereditary breast and ovarian cancer locus, BRCA1, on chromosome 17q.	94	129	36	hereditary breast and ovarian cancer	intuitive:	C1833686	OVARIAN CANCER, FAMILIA	T0000018 - C0029925, C1140680 		
482	8084618	1	The EWS gene, which maps to band q12 of human chromosome 22, is involved in a wide variety of human solid tumors including Ewing sarcoma, related primitive neuroectodermal tumors, malignant melanoma of soft parts and desmoplastic small round cell tumors.	101	112	12	solid tumors	textual	C0280100	Solid tumour			
482	8084618	1	The EWS gene, which maps to band q12 of human chromosome 22, is involved in a wide variety of human solid tumors including Ewing sarcoma, related primitive neuroectodermal tumors, malignant melanoma of soft parts and desmoplastic small round cell tumors.	124	136	13	Ewing sarcoma	textual	C0553580	Ewings sarcoma			
482	8084618	1	The EWS gene, which maps to band q12 of human chromosome 22, is involved in a wide variety of human solid tumors including Ewing sarcoma, related primitive neuroectodermal tumors, malignant melanoma of soft parts and desmoplastic small round cell tumors.	147	178	32	primitive neuroectodermal tumors	textual - yields correct UMLS code, however, also yields 2 others - [ C0206093 ] Neuroectodermal Tumors and [ C0279980 ] Extraosseous Ewings sarcoma-primitive neuroepithelial tumor	C0206663	Neuroectodermal Tumor, Primitive	C0206093, C0279980		
482	8084618	1	The EWS gene, which maps to band q12 of human chromosome 22, is involved in a wide variety of human solid tumors including Ewing sarcoma, related primitive neuroectodermal tumors, malignant melanoma of soft parts and desmoplastic small round cell tumors.	181	198	18	malignant melanoma	textual - yields 1 of 2 UMLS codes (C0025202), however, also provides UMLS code for "Cutaneous Melanoma" possibly a synonym.	T0000025 - C0431097,C0025202	Malignant melanoma - melanoma	C0151779		
482	8084618	1	The EWS gene, which maps to band q12 of human chromosome 22, is involved in a wide variety of human solid tumors including Ewing sarcoma, related primitive neuroectodermal tumors, malignant melanoma of soft parts and desmoplastic small round cell tumors.	218	253	36	desmoplastic small round cell tumors	textual	C0281508	Desmoplastic small round cell tumor			
483	8088831	1	Canavan disease, or spongy degeneration of the brain, is a severe leukodystrophy caused by the deficiency of aspartoacylase ASPA.	1	15	15	Canavan disease	textual	C0206307	Canavan Disease			
483	8088831	1	Canavan disease, or spongy degeneration of the brain, is a severe leukodystrophy caused by the deficiency of aspartoacylase ASPA.	67	80	14	leukodystrophy	textual	C0023520	Leucodystrophy NOS			
483	8088831	1	Canavan disease, or spongy degeneration of the brain, is a severe leukodystrophy caused by the deficiency of aspartoacylase ASPA.	96	128	33	deficiency of aspartoacylase ASPA	intuitive: text states a deficiency of a specific enzyme	C0149676	Enzyme Deficiency			
483	8088831	1	Canavan disease, or spongy degeneration of the brain, is a severe leukodystrophy caused by the deficiency of aspartoacylase ASPA.	96	123	28	deficiency of aspartoacylase	textual	C0206307	Canavan Disease			
484	8088831	13	It should now be possible to identify mutations in the noncoding genomic sequences that lead to Canavan disease and to study the regulation of ASPA..	97	111	15	Canavan disease	textual	C0206307	Canavan Disease			
485	8088831	2	Recently, a missense mutation was identified in human ASPA coding sequence from patients with Canavan disease.	95	109	15	Canavan disease	textual	C0206307	Canavan Disease			
486	8098180	1	Myotonic dystrophy (DM) is a progressive neuromuscular disorder which results from elongations of an unstable (CTG)n repeat, located in the 3' untranslated region of the DM gene.	21	22	2	DM	textual - search yields 1 of 2 UMLS codes (C0027126), however, also provides 8 other UMLS codes	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
486	8098180	1	Myotonic dystrophy (DM) is a progressive neuromuscular disorder which results from elongations of an unstable (CTG)n repeat, located in the 3' untranslated region of the DM gene.	1	18	18	Myotonic dystrophy	textual - search yields 1 of 2 UMLS codes (C0027126). The second code has to do with muscular dystrophy and must be searched intuitively.	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
486	8098180	1	Myotonic dystrophy (DM) is a progressive neuromuscular disorder which results from elongations of an unstable (CTG)n repeat, located in the 3' untranslated region of the DM gene.	42	63	22	neuromuscular disorder	textual	C0027868	Neuromuscular Diseases			
487	8098245	5	The present study supports the view that circulating lymphocytes give easy access to PAH gene transcripts whose nucleotide sequence is identical to that reported in liver and therefore represent a useful tool for molecular genetic studies in phenylketonuria..	243	257	15	phenylketonuria	textual - yields 2 of 3 UMLS codes, Classical phenylketonuria and phenylketonurias.  Also provides code for "PAH gene	T0000019 - C1291306, C0031485, C0751434	Deficiency of phenylalanine 4-monooxygenase, Phenylketonurias, Classical phenylketonuria			
488	8101038	1	We identified a patient suffering from late-infantile metachromatic leukodystrophy (MLD) who has a residual arylsulfatase A (ARSA) activity of about 10%.	40	82	43	late-infantile metachromatic leukodystrophy	textual	C0751278	Metachromatic Leukodystrophy, Infant			
489	8104633	1	Metachromatic leukodystrophy (MLD) is an autosomal recessive lysosomal storage disorder caused by a deficiency of arylsulfatase A ARSA; EC 3.1.6.8.	31	33	3	MLD	textual - yields correct UMLS code, however, also yields 1 other	C0023522	Leukodystrophy, Metachromatic			
489	8104633	1	Metachromatic leukodystrophy (MLD) is an autosomal recessive lysosomal storage disorder caused by a deficiency of arylsulfatase A ARSA; EC 3.1.6.8.	1	28	28	Metachromatic leukodystrophy	textual	C0023522	Leukodystrophy, Metachromatic			
489	8104633	1	Metachromatic leukodystrophy (MLD) is an autosomal recessive lysosomal storage disorder caused by a deficiency of arylsulfatase A ARSA; EC 3.1.6.8.	62	87	26	lysosomal storage disorder	textual	C0085078	Lysosomal Storage Diseases			
489	8104633	1	Metachromatic leukodystrophy (MLD) is an autosomal recessive lysosomal storage disorder caused by a deficiency of arylsulfatase A ARSA; EC 3.1.6.8.	101	127	27	deficiency of arylsulfatase	textual	C1283613	Deficiency of arylsulfatase			
490	8104633	2	The 8 ARSA exons and adjacent intron boundaries from a patient with late-infantile metachromatic leukodystrophy were polymerase chain reaction (PCR) amplified in seven discrete reactions.	69	111	43	late-infantile metachromatic leukodystrophy	textual	C0751278	Metachromatic Leukodystrophy, Infant			
491	8111379	1	The 14 exons of the PAX6 gene have been analysed exon-by-exon using SSCP in 6 aniridia families.	79	86	8	aniridia	textual - was not annotated		Aniridia	C0003076		
492	8111379	9	This data strongly supports the candidature of PAX6 as the gene responsible for hereditary aniridia..	92	99	8	aniridia	textual	C0003076	Aniridia			
493	8113388	1	A panel of eight unrelated subjects with inherited type I protein S deficiency was screened for mutations in the PROS1 gene.	59	78	20	protein S deficiency	textual	C0242666	Protein S Deficiency			
494	8116611	1	In myotonic dystrophy (DM), the size of a CTG repeat in the DM kinase gene generally increases in successive generations with clinical evidence of anticipation.	24	25	2	DM	textual - search yields 1 of 2 UMLS codes (C0027126), however, also provides 8 other UMLS codes	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
494	8116611	1	In myotonic dystrophy (DM), the size of a CTG repeat in the DM kinase gene generally increases in successive generations with clinical evidence of anticipation.	4	21	18	myotonic dystrophy	textual - search yields 1 of 2 UMLS codes (C0027126). The second code has to do with muscular dystrophy and must be searched intuitively.	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
495	8128954	1	Myotonic dystrophy (DM) is caused by abnormal expansion of a polymorphic (CTG)n repeat, located in the DM protein kinase gene.	21	22	2	DM	textual - search yields 1 of 2 UMLS codes (C0027126), however, also provides 8 other UMLS codes	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
495	8128954	1	Myotonic dystrophy (DM) is caused by abnormal expansion of a polymorphic (CTG)n repeat, located in the DM protein kinase gene.	1	18	18	Myotonic dystrophy	textual - search yields 1 of 2 UMLS codes (C0027126). The second code has to do with muscular dystrophy and must be searched intuitively.	T0000024 - C0027126 - C0242007	Myotonic Dystrophy, muscular; dystrophy, myotonic			
496	8162051	1	Germline mutation in APC at 5q21-22 results in the dominantly inherited syndrome adenomatous polyposis coli APC.	109	111	3	APC	textual - yields Wrong UMLS codes	C0032580	Adenomatous Polyposis Coli			
496	8162051	1	Germline mutation in APC at 5q21-22 results in the dominantly inherited syndrome adenomatous polyposis coli APC.	82	107	26	adenomatous polyposis coli	textual	C0032580	Adenomatous Polyposis Coli			
497	8162071	1	Mutation or deletion of the PAX6 gene underlies many cases of aniridia.	63	70	8	aniridia	textual	C0003076	Aniridia			
498	8178825	1	Huntington disease (HD) has been shown to be associated with an expanded CAG repeat within a novel gene on 4p16.3 IT15.	21	22	2	HD	textual - yields correct UMLS code, however, also yield 4 others	C0020179	Huntington Disease			
498	8178825	1	Huntington disease (HD) has been shown to be associated with an expanded CAG repeat within a novel gene on 4p16.3 IT15.	1	18	18	Huntington disease	textual - yields correct UMLS code, however, also yields code for "HD gene	C0020179	Huntington Disease			
499	8187068	3	This same AR mutation has been reported previously in a metastatic prostate cancer cell line, LNCaP, where this mutation confers upon the AR an altered ligand-binding specificity which is stimulated by estrogens, progestagens, and antiandrogens.	57	82	26	metastatic prostate cancer	textual - yields 1 of 2 UMLS codes C0936223 [Prostate cancer metastatic]	T0000014- C0936223,C0376358	Malignant neoplasm of prostate - Prostate cancer metastatic	C0600139		
500	8187068	4	It is possible that analogous to an activated/altered growth factor receptor oncogene, codon 877 mutant AR with altered ligand binding may provide a selective growth advantage in the genesis of a subset of advanced prostate cancer.	207	230	24	advanced prostate cancer	intuitive: a query of "advanced cancer" will yield correct UMLS code	C0877373	Advanced cancer	T0000014- C0936223,C0376358		
501	8188241	1	Alkaptonuria (AKU; McKusick no. 203500) is a rare autosomal recessive disorder caused by the lack of homogentisic acid oxidase activity.	15	17	3	AKU	textual	C0002066	Alkaptonuria			
501	8188241	1	Alkaptonuria (AKU; McKusick no. 203500) is a rare autosomal recessive disorder caused by the lack of homogentisic acid oxidase activity.	1	12	12	Alkaptonuria	textual	C0002066	Alkaptonuria			
501	8188241	1	Alkaptonuria (AKU; McKusick no. 203500) is a rare autosomal recessive disorder caused by the lack of homogentisic acid oxidase activity.	46	78	33	rare autosomal recessive disorder	intuitive: text states a "rare disorder" or disease	C0678236	Rare Diseases			
501	8188241	1	Alkaptonuria (AKU; McKusick no. 203500) is a rare autosomal recessive disorder caused by the lack of homogentisic acid oxidase activity.	94	126	33	lack of homogentisic acid oxidase	intuitive: text states a deficiency of an oxidase	C1291312	Deficiency of oxidase			
502	8195156	1	Intestinal uptake of dietary glucose and galactose is mediated by the SGLT1 Na+/glucose cotransporter of the brush border.	0	0	0		No annotations.					
503	8195156	2	An SGLT1 missense mutation underlies hereditary glucose/galactose malabsorption, characterized by potentially fatal diarrhea; conversely, oral rehydration therapy exploits normal transport to alleviate life-threatening diarrhea of infectious origin.	38	79	42	hereditary glucose/galactose malabsorption	textual - however, "hereditary" must be replaced with "congenital" to yield correct UMLS code	C0268186	Congenital glucose-galactose malabsorption			
503	8195156	2	An SGLT1 missense mutation underlies hereditary glucose/galactose malabsorption, characterized by potentially fatal diarrhea; conversely, oral rehydration therapy exploits normal transport to alleviate life-threatening diarrhea of infectious origin.	117	124	8	diarrhea	textual - yields correct UMLS code, however, also yields UMLS code for [ C1963091 ] Diarrhea Adverse Event	C0011991	Diarrhea	C1963091		
503	8195156	2	An SGLT1 missense mutation underlies hereditary glucose/galactose malabsorption, characterized by potentially fatal diarrhea; conversely, oral rehydration therapy exploits normal transport to alleviate life-threatening diarrhea of infectious origin.	220	248	29	diarrhea of infectious origin	textual	C0013369	Dysentery			
504	8195156	3	We have mapped the entire human SGLT1 Na+/glucose cotransporter gene from cosmid and lambda phage clones representing a genomic region of 112 kilobases.	0	0	0		No annotations.					
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	35	54	20	prolidase deficiency	textual	C0268532	Deficiency of prolidase			
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	77	109	33	rare autosomal recessive disorder	intuitive: text states a "rare disorder" or disease	C0678236	Rare Diseases			
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	128	144	17	iminodipeptiduria	textual	C1534653	Hyperimidodipeptiduria			
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	147	157	11	skin ulcers	textual	C0037299	Skin Ulcer			
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	160	177	18	mental retardation	textual	C0025362	Mental Retardation			
505	8198124	1	Mutations at the PEPD locus cause prolidase deficiency (McKusick 170100), a rare autosomal recessive disorder characterized by iminodipeptiduria, skin ulcers, mental retardation, and recurrent infections.	194	203	10	infections	textual - search yields both UMLS codes, but also yields 2 other codes	T0000020 - C0021311,C0009450	Infection - Group name			
506	8198124	9	Our results indicate that the severe form of prolidase deficiency is caused by multiple PEPD alleles.	46	65	20	prolidase deficiency	textual	C0268532	Deficiency of prolidase			
507	8198128	1	The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter.	34	37	4	FRDA	textual - yields different UMLS code, possibly a synonym [ C1856689 ] FRIEDREICH ATAXIA 1	C0016719	Friedreich Ataxia	C1856689		
507	8198128	1	The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter.	15	31	17	Friedreich ataxia	textual	C0016719	Friedreich Ataxia			
507	8198128	1	The locus for Friedreich ataxia (FRDA), a severe neurodegenerative disease, is tightly linked to markers D9S5 and D9S15, and analysis of rare recombination events has suggested the order cen-FRDA-D9S5-D9S15-qter.	50	74	25	neurodegenerative disease	textual	C0524851	Neurodegenerative Disorders			
508	8209890	1	A survey instrument is used to assess temperature regulation characteristics in children with Prader-Willi syndrome (PWS) compared to 3 control groups: sibs of PWS patients (SIB), neurodevelopmentally handicapped children (ND), and age and gender matched well children WC.	118	120	3	PWS	textual	C0032897	Prader-Willi Syndrome			
508	8209890	1	A survey instrument is used to assess temperature regulation characteristics in children with Prader-Willi syndrome (PWS) compared to 3 control groups: sibs of PWS patients (SIB), neurodevelopmentally handicapped children (ND), and age and gender matched well children WC.	161	163	3	PWS	textual	C0032897	Prader-Willi Syndrome			
508	8209890	1	A survey instrument is used to assess temperature regulation characteristics in children with Prader-Willi syndrome (PWS) compared to 3 control groups: sibs of PWS patients (SIB), neurodevelopmentally handicapped children (ND), and age and gender matched well children WC.	95	115	21	Prader-Willi syndrome	textual	C0032897	Prader-Willi Syndrome			
